node,label,t_value,p_value_FDR
201,VAs,4.78575325012207,0.0005725414375774562
75,VI,3.9926764965057373,0.007066492456942797
22,FP,3.863727569580078,0.007066492456942797
11,SAL,3.8380544185638428,0.007066492456942797
42,VI,3.8212180137634277,0.007066492456942797
233,SC,3.7507801055908203,0.007066492456942797
136,SAL,3.7404215335845947,0.007066492456942797
190,MF,3.727886438369751,0.007066492456942797
38,Mot,3.623075008392334,0.008774944581091404
47,FP,3.613023519515991,0.008774944581091404
196,FP,3.5784969329833984,0.009083668701350689
188,Mot,3.5540966987609863,0.009121420793235302
222,DMN,3.504255533218384,0.009737465530633926
30,FP,3.4947543144226074,0.009737465530633926
187,MF,3.4215281009674072,0.011864620260894299
19,FP,3.399153709411621,0.011921146884560585
135,SAL,3.3853604793548584,0.011921146884560585
203,DMN,3.354790687561035,0.012554273940622807
251,SAL,3.3381855487823486,0.012613959610462189
194,MF,3.2698442935943604,0.014428431168198586
198,VI,3.261800527572632,0.014428431168198586
259,SC,3.2576401233673096,0.014428431168198586
179,Mot,3.245015859603882,0.014428431168198586
48,FP,3.2223589420318604,0.014948686584830284
14,FP,3.1804728507995605,0.01655636727809906
151,MF,3.165372133255005,0.016755269840359688
16,MF,3.1413447856903076,0.01699814200401306
41,VAs,3.1391093730926514,0.01699814200401306
134,DMN,3.0678374767303467,0.02080317959189415
98,VI,3.0316293239593506,0.02245979569852352
137,MF,3.017500877380371,0.02245979569852352
43,VAs,3.006338119506836,0.02245979569852352
32,SAL,2.9960172176361084,0.02245979569852352
228,Mot,2.9913854598999023,0.02245979569852352
152,SAL,2.9863646030426025,0.02245979569852352
217,SC,2.9694271087646484,0.02245979569852352
110,SAL,2.969346046447754,0.02245979569852352
209,VAs,2.9528489112854004,0.0230544526129961
238,CBL,2.9025018215179443,0.02635178156197071
51,Mot,2.8845624923706055,0.026854701340198517
254,CBL,2.880547523498535,0.026854701340198517
177,VAs,2.844974994659424,0.02928580343723297
21,FP,2.8266732692718506,0.03013325110077858
153,MF,2.8206658363342285,0.03013325110077858
232,SC,2.806204319000244,0.030801190063357353
66,VAs,2.7972941398620605,0.030964365229010582
186,MF,2.779766798019409,0.03196858987212181
229,SC,2.768447160720825,0.03239678591489792
87,VI,2.7438080310821533,0.033230531960725784
72,VI,2.741971969604492,0.033230531960725784
185,MF,2.730114459991455,0.033230531960725784
208,VI,2.7233686447143555,0.033230531960725784
86,DMN,2.720862865447998,0.033230531960725784
115,DMN,2.7063980102539062,0.034064389765262604
226,SAL,2.681934356689453,0.035972729325294495
189,Mot,2.6670613288879395,0.03639661893248558
216,VI,2.666051149368286,0.03639661893248558
125,SC,2.6550679206848145,0.03695192188024521
128,SC,2.6458239555358887,0.037332307547330856
132,CBL,2.629265308380127,0.03803596645593643
108,CBL,2.6281650066375732,0.03803596645593643
230,SC,2.6026499271392822,0.0403021015226841
126,SC,2.570965051651001,0.04344917833805084
130,CBL,2.5321428775787354,0.047765474766492844
35,Mot,2.523803472518921,0.04816041886806488
55,FP,-2.721156358718872,0.033230531960725784
